name,source,family,arch,img_size,batch_size,global_batch_size,lr,dropout,weight_decay,label_smoothing,best_val_acc,best_epoch,test_acc,run_dir,cfg_hash,epochs,val_split
ResNet50 (2ea2d0),single_arch,ResNet,ResNet50,224,6,16,5e-05,0.0,0.0001,0.03,0.9838945827232796,17,0.9672131147540984,~/Alzheimers/Results/ArchSweep/ResNet50/2ea2d05580,2ea2d05580,20,0.2
ResNet50 (226835),single_arch,ResNet,ResNet50,224,6,16,5e-05,0.2,0.0001,0.03,0.9887750122010736,16,0.966432474629196,~/Alzheimers/Results/ArchSweep/ResNet50/2268357f7c,2268357f7c,20,0.2
InceptionV3 (753305),single_arch,Inception,InceptionV3,299,3,16,2.5e-05,0.2,0.0001,0.03,0.9858467545143972,17,0.966432474629196,~/Alzheimers/Results/ArchSweep/InceptionV3/753305689a,753305689a,20,0.2
VGG16 (438cb5),single_arch,VGG,VGG16,224,6,16,5e-05,0.5,0.0001,0.03,0.9834065397755004,19,0.966432474629196,~/Alzheimers/Results/ArchSweep/VGG16/438cb55e58,438cb55e58,20,0.2
DenseNet169 (c1ebc5),single_arch,DenseNet,DenseNet169,224,6,16,2.5e-05,0.2,0.0001,0.03,0.9873108833577356,17,0.9648711943793912,~/Alzheimers/Results/ArchSweep/DenseNet169/c1ebc5c771,c1ebc5c771,20,0.2
DenseNet169 (c1ebc5),single_arch,DenseNet,DenseNet169,224,6,16,2.5e-05,0.2,0.0001,0.03,0.984382625671059,12,0.9640905542544886,~/Alzheimers/Results/ArchSweep/DenseNet169/c1ebc5c771,c1ebc5c771,20,0.2
EffNetB0 (2be00a),single_arch,EffNet,EffNetB0,224,6,16,0.0001,0.2,0.0001,0.03,0.984382625671059,15,0.9640905542544886,~/Alzheimers/Results/ArchSweep/EffNetB0/2be00a0fdf,2be00a0fdf,20,0.2
VGG16 (55644f),single_arch,VGG,VGG16,224,6,16,5e-05,0.3,0.0001,0.03,0.9804782820888238,18,0.9633099141295862,~/Alzheimers/Results/ArchSweep/VGG16/55644f9112,55644f9112,20,0.2
DenseNet169 (313768),single_arch,DenseNet,DenseNet169,224,6,16,2.5e-05,0.0,0.0001,0.03,0.9858467545143972,16,0.9625292740046838,~/Alzheimers/Results/ArchSweep/DenseNet169/313768fef2,313768fef2,20,0.2
MobileNetV2 (293193),single_arch,MobileNetV2,MobileNetV2,224,6,16,0.0001,0.0,0.0001,0.03,0.9834065397755004,19,0.9625292740046838,~/Alzheimers/Results/ArchSweep/MobileNetV2/2931932146,2931932146,20,0.2
MobileNetV2 (17b0b4),single_arch,MobileNetV2,MobileNetV2,224,6,16,0.0001,0.2,0.0001,0.03,0.9799902391410444,19,0.9625292740046838,~/Alzheimers/Results/ArchSweep/MobileNetV2/17b0b4e0be,17b0b4e0be,20,0.2
VGG16 (770e20),single_arch,VGG,VGG16,224,6,16,0.0001,0.5,0.0001,0.03,0.9765739385065886,18,0.9625292740046838,~/Alzheimers/Results/ArchSweep/VGG16/770e20bc68,770e20bc68,20,0.2
MobileNetV3_L (c35810),single_arch,MobileNetV3,MobileNetV3_L,224,6,16,5e-05,0.2,0.0001,0.03,0.9799902391410444,18,0.960967993754879,~/Alzheimers/Results/ArchSweep/MobileNetV3_L/c3581048ee,c3581048ee,20,0.2
VGG16 (e616b2),single_arch,VGG,VGG16,224,6,16,2.5e-05,0.5,0.0001,0.03,0.9809663250366032,20,0.9578454332552692,~/Alzheimers/Results/ArchSweep/VGG16/e616b247eb,e616b247eb,20,0.2
ResNet50 (6c903a),single_arch,ResNet,ResNet50,224,6,16,0.0001,0.2,0.0001,0.03,0.9780380673499268,20,0.9570647931303669,~/Alzheimers/Results/ArchSweep/ResNet50/6c903ad459,6c903ad459,20,0.2
EffNetB0 (47c212),single_arch,EffNet,EffNetB0,224,6,16,5e-05,0.2,0.0001,0.03,0.9829184968277208,19,0.955503512880562,~/Alzheimers/Results/ArchSweep/EffNetB0/47c212dcbf,47c212dcbf,20,0.2
InceptionV3 (18907e),single_arch,Inception,InceptionV3,299,3,16,5e-05,0.2,0.0001,0.03,0.9790141532454856,16,0.9492583918813428,~/Alzheimers/Results/ArchSweep/InceptionV3/18907e7972,18907e7972,20,0.2
InceptionV3 (f7f1f6),single_arch,Inception,InceptionV3,299,3,16,0.0001,0.2,0.0001,0.03,0.9765739385065886,19,0.947697111631538,~/Alzheimers/Results/ArchSweep/InceptionV3/f7f1f63a2a,f7f1f63a2a,20,0.2
EffNetB0 (3ad68c),single_arch,EffNet,EffNetB0,224,6,16,5e-05,0.0,0.0001,0.03,0.9755978526110298,20,0.947697111631538,~/Alzheimers/Results/ArchSweep/EffNetB0/3ad68c29c3,3ad68c29c3,20,0.2
ResNet101 (1e6e01),single_arch,ResNet,ResNet101,224,6,16,0.0001,0.2,0.0001,0.03,0.9785261102977062,16,0.9461358313817332,~/Alzheimers/Results/ArchSweep/ResNet101/1e6e017d96,1e6e017d96,20,0.2
MobileNetV3_L (51bb52),single_arch,MobileNetV3,MobileNetV3_L,224,6,16,2.5e-05,0.2,0.0001,0.03,0.969741337237677,20,0.9352068696330992,~/Alzheimers/Results/ArchSweep/MobileNetV3_L/51bb528241,51bb528241,20,0.2
